plate,review_reason_code,customer_meaning,reviewer_comments,status
AWSUMGS,2,AWESOME GS (BMW MODEL),"G, GANG REFERENCE",Y
CL45ACP,2,COCK AND LOCKED 45 AUTOMATIC COLT PISTOL,GUN REFERENCE,N
TAYSTYY,1,PRETTY,COULD BE TAKEN AS SEXUAL,Y
1CRANK2,7d,MY NICKNAME I HAVE AMONG FRIENDS.,CRANK COULD BE A DRUG REFERENCE,N
GR8TM8,1,GREAT TEAMMATE,"LOOKS LIKE GREAT TO MATE, SEXUAL REFERENCE",Y
HOTTCAT,1,GOOD LOOKING/ COOL CAR,"CAT, SEXUAL REFERENCE",Y
H8WINTR,2,I DISLIKE WINTER. THE CAR IS A CONVERTIBLE,"HATE, HOSTILE",N
LMFT559,2,LICENSED MARRIAGE AND FAMILY THERAPIST IN 559 AREA CODE,AREA CODE,N
TALIBN,2,,TALIBAN,N
BTY BLK,2,name of car,BETTY BLACK,N
CISSI 12,2,daughters name,SISSY A DEROGATORY TERM TOWARDS GAYS,N
DCH MSTR,2,,DUTCH MASTER,N
DWBI,D7,,DOOBIE,N
DYLAN18,2,name and birthday,18 GANG REFERENCE,N
EL 8A,1,my last name,8 LOOKS LIKE ATE,Y
G DIRTE5,2,g35 infinit model,G AS IN GANGSTER,N
LEMAH 1,2,,WEAK IN SPANISH,Y
LVE HYB,2,love for hyrbrid cars,LOVE HIT YOUR BITCH,N
M11I11M,6,first name and initials at both end and my numbers,LOOK A LIKE SUBSTITUTE,Y
NGYN JT,2,nguyen johnny tiff,LAST NGUYEN LOOLS LIKE INGIN INDIAN SLANG,N
T BALLA,2,,BALLA BALLER,N
THINGE,1,volkswagon thing,THINGY TERM FOR PENIS,N
UF ENG,3,school,YOU F'ING,N
UPNDN 18,2,elevator man union #,18 GANG REFERENCE,N
UVITAS,D7,grapes,SATIVU SATIVA,Y
V8 HUNTR,2,motorsize,HUNTER,N
YOU CME,1,you see me,YOU CUM,N
6SMG M3,2,lucky #,GUN,N
HOGTYDE,2,harley saying,HOG TIDE,N
GODOY 88,2,last name,88 HITLER REFERENCE,N
KAISE HO,1,how are you in Hindi,HO,N
PSST COM,2,ps strategic communication,PSST COME HERE looks like pissed,N
SBALWS,1,,"SIMILAR TO BALLS, SEXUAL REFERENCE",N
SHOP4D,1,,"""SHOP FOR D"" THE D COULD STAND FOR DICK, SEXUAL REFERENCE",N
SKANSK,3,,LOOKS SIMILAR TO SKANKS,N
SNPNUT,1,,"NUT, SEXUAL REFERENCE",Y
SNPY5O,5,,"5O, POLICE REFERENCE",Y
SNWDST,7d,,"SNOW DUST IS ANOTHER WORD FOR COCAINE, DRUG REFERENCE",N
SOCOCA,7d,,"COCA CAN BE ANOTHER WORD FOR COCAINE, DRUG REFERENCE",N
SPAAAZ,4,,SOME COULD FIND OFFENSIVE,Y
SWTBLU,2,,"BLUE, GANG REFERENCE",Y
SYC88,2,,"88, GANG REFERENCE",N
TAILUP,1,,"TAIL IS ANOTHER WORD FOR ASS. ""ASS UP""",N
TATCAT,1,,"CAT, SEXUAL REFERENCE",Y
TMCOCO,7d,,"COCO CAN BE ANOTHER WORD FOR COCAINE, DRUG REFERENCE",Y
TNTANT,2,,"TNT, WEAPON REFERENCE",N
TNTLUV,2,,"TNT, WEAPON REFERENCE",N
TORITT,1,,"TT, SEXUAL REFERENCE",N
TOYPOO,3,,"POO, OBSCENE",N
TRPGRL,7d,,"TRAP, DRUG REFERENCE",N
UGT2GO,2,,"U, HOSTILE",N
USDLRS,7d,,"DLRS SOUNDS LIKE DEALERS, COULD BE A DRUG REFERENCE",N
VISEXP,1,,"SEX, SEXUAL REFERENCE",N
WAD4U,2,,"U, HOSTILE",N
WEEDOG,7d,,"COULD BE WEED OG, DRUG REFERENCE",N
WOCAT,1,,"CAT, SEXUAL REFERENCE",Y
WOOD88,2,,"88, GANG REFERENCE",N
1BLUB,2,,"BLUE, GANG REFERENCE",Y
18FUMA,2,,"18, GANG REFERENCE",N
2M8OS,2,,"M8O IS A SMALL EXPLOSIVE, WEAPON REFERENCE",N
2SKNKS,3,,LOOKS SIMILAR TO SKANKS,N
28CLAM,1,,"CLAM, SEXUAL REFERENCE",N
4MYKAT,1,,"KAT, SEXUAL REFERENCE",Y
4OCT5O,5,,"5O, POLICE REFERENCE",Y
5PNUTS,1,,"NUT, SEXUAL REFERENCE",Y
5X5PSY,1,,PSY COULD SOUND LIKE PUSSY,N
7FTWM7,3,,"FTW, FUCK THE WORLD",N
74PNUT,1,,"NUT, SEXUAL REFERENCE",Y
75NYPD,5,,"NYPD, POLICE REFERENCE",N
8ABONE,1,,"ATE, SEXUAL REFERENCE",N
88DDKY,2,,"88, GANG REFERENCE",N
ADOLF M,2,,ADOLF,N
AGU88,2,,88 HITLER REFERENCE,N
ALESS18,2,SON,18 HITLER REFERENCE,N
ATOMBEE,2,MY FIRST NAME AND LAST INITIAL,ATOM AS IN BOMB,N
BENG DI,1,DANCE,BANG D AS PENIS,Y
BSMOKER,D7,9705964472,SMOKER,N
BUDROC2,D7,,BUD AS IN MARIJUANA,N
CAYM WNT,1,CAME AND WENT - THIS PLATE WILL BE USED ON A PORSCHE CAYMEN,CAME WENT,Y
CCKUMR1,1,BUSINESS COMPANY,CUMMER,N
CLD9EXP,D7,"""CLOUD 9 EXPRESS"" IS THE NAME OF A CHAIR LIFT AT MAMMOTH MOUNTAIN. I AM A SNOWBOARDER AND THAT IS MY FAVORITE CHAIR LIFT AT MAMMOTH.",CLOUD 9 EXPERIENCE HIGH,N
COOL NGA,2,COOL NAME,COOL NIGGA,N
DOPE WGN,D7,ANOTHER WAY OF SAYING NICE WAGON,DOPE,N
DRO 6ON,D7,DROGON: NAME OF DRAGON IN GAME OF THRONES,DRO DRUGS,N
DUB13,2,THE NICKNAME I GOT IN THE NAVY AND HAS STUCK WITH ME IS DUB AND 13 IS MY FAVORITE NUMBER,13 GANG REFERENCE,N
EFG FAM,3,ELEANOR AND FRANK GONZALES FAMILY.,EFFING FAM,N
FIONA B,3,FIRST NAME LAST NAME INITIAL,BITCH,N
F VENGCO,3,MY FIRST NAME AND LAST NAME,FUCK VENGCO,N
GGGGGG,2,"THE PLATE I WOULD LIKE TO ORDER CONTAINS THE INITIALS OF ALL THE MEN IN MY FAMILY. MYSELF, MY FATHER AND MY GRANDFATHER WHO PASSED ON.",G AS IN GANGSTER,Y
G8HUNTR,2,GREAT HUNTER,GATE HUNTR,N
HATER8,2,,HATER,N
HBCH T20,2,HUNTINGTON BEACH TOWER 20,BITCH CUSTOMER DOES NOT LIVE IN HUNTINGTON BEACH,N
HELL BAE,3,SHELBY + BABY = HELLBAE BEFORE ANYONE ELSE),HELL,N
HY IZ FB,D7,"CAN I HAVE THE LETTERS SPACED AS FOLLOWING, GROUPED IN TWOS ""HY IZ FB"" AS THEY ARE THE INITIALS OF MY KIDS (HAMZA YUSUF, IZRA ZEYNEP, FATIMA BERRA)",HIGH,N
H83PUTS,2,HATE THREE- PUTTS GOLF RELATED TERMS,HATE,N
INFO WRS,2,INFORMATION WORDS TECH TERM,WAR,N
IRAQI 93,2,ITS MY COUNTRY IRAQ AND 93 IS WHEN I WAS BORN,IRAQI,Y
IS 16 MAG,2,INTIALS,MAG  AS INMAGAZIEN GUN,N
JST1BTE,2,JUST ONE BITE - EVIL QUEEN IN SNOW WHITE,JUST ONE BITE,Y
KILINIT,2,,KILLING IT,N
KLSTRLK,2,I'M UNBELIEVABLY LUCKY I'M A CLUSTER OF LUCK,KILLS,N
LAPD P71,5,,LA PD,N
LITDUDE,D7,I LIKE IT,LIT,N
LOVE BJ,1,I LOVE BEIJING,BJ BLOW JOB,N
MCFLY14,2,CHILDHOOD MOVIE.,14 GANG REFERENCE,Y
MF SQARE,3,MY NAME IS MICHELE FITZSIMONS. MY HUSBAND'S NAME IS MICHAEL FISHER. TOGETHER WE ARE MFSQURARED.,MOTHER FUCKING,N
MI BEA,3,MY BEAST,MY BITCH,N
M472100,6,LUCKY NUMBERS,LOOK  A LIKE,N
NUDS PLS,1,"NORTHWESTERN UNIVERSITY DENTAL SCHOOL ALUMNI, MY PRACTICE MENTORS AND HIRES RECENT GRADUATES.",NUDES PLEASE,N
OG CRUZ9,2,O GEOFFREY CRUZ 9,OG ORIGINAL GANGSTER,N
OTW FYB,1,,ON THE WAY TO FUCK YOUR BITCH,N
PEWPEWS,2,STARWARS STORMTROOPER THEMED TOYOTA RAV4 SUV. THE SOUND STORMTROOPERS MAKE.,PEW PEW GUN SOUND,N
PHOTO 14,2,,14 GANG REFERENCE,Y
PNK PNTR,1,PINK PANTHER,PINK .. PINK PANTHER,Y
PNKYBNZ,1,,PINKY BENZ,N
PSYCHPS,1,AM A PSYCHOLOGIST IN PALM SPRINGS,LOOS LIKE A SEXUAL REFERENCE OR PSYCH PS,N
RAW FIT,1,NAME OF A GYM,RAW FIT SEXUAL REFERENCE,N
SEWER2,2,,SEWER COULD MEAN SHIT,Y
SEWER7,2,,SEWER COULD MEAN SHIT,Y
SHAGN,1,THIS IS GOING ON A 1977 PINTO WAGON AND THEY WERE REFERRED TO AS SHAGGON WAGONS. THANKS,SHAGGIN,N
SHMUCLY,2,NICKNAME,SHMUCK,Y
TAHOE 13,2,YEAR I MOVED TO TAHOE,13 GANG REFERENCE,Y
USDAPRM,1,USDA PRIME. IT'S A GRADE OF BEEF. I'M A CHEF AND COOK/BUTCHER MEAT FOR A LIVING,USDA PREMIUM MEAT,Y
WIXHELL,2,,HELL,Y
XCUZU,2,,EXCUSE YOU,N
XDUTCHX,D7,MY FIRST NAME IS DUTCH,DUTCH AS SWISHER MARIJUANA BLUNT,N
YPAPA D,2,WHY PAPA D,PAPA D,N
22A2A22,3,SPORTS NUMBER,LOOKS LIKE ASS BOTH WAYS,N
28 TACOS,1,,TACO,N
3LOH SA,3,MY WIFE'S GREAT GRANDMOTHERS INITIALS MINE AND WIFE FOLLOW,ASS HOLE BACKWARDS,N
313LION,2,DETROIT LIONS,AREA CODE,Y
4DASOFF,2,FIREFIGHTERS SCHEDULE OF 4 DAYS OFF FOR EVERY 2 WORKED,NOT SURE,Y
4DR HOAR,1,4 DOOR PICKUP,4 DOOR WHORE,N
842016R,6,CHERISHED FAMILY MEMORIES,LOOK  A LIKE,N
BAK AWF,2,,BACK OFF,N
BRUIN 88,2,,88 HITLER REFERENCE,N
DUECE IT,2,,DEUCE IT FUCK IT LET IT GO,Y
TRAMP 17,1,,TRAMP,N
G $GMEN,2,"GO GMEN"" THIS IS IN SUPPORT OF THE SAN FRANCISCO GIANTS",G AS IN GANGSTER,Y
DJCRM11,2,,DJ CREAM,N
1LSSGOD,2,1 LESS GOD,1 LESS GOD,N
CNR KILR,2,CANCER KILLER,KILLER,N
FU MIKE,3,KUNG FU MIKE,FUCK YOU MIKE,N
MOON8,2,,MOON IT,Y
85BUD16,2,"MY SON'S YEAR OF BIRTH, NICKNAME AND YEAR OF DEATH",BUD AS IN MARIJUANA,N
88RK268,2,,88 HITLER REFERENCE,N
BCH4YOU,2,I'M A REAL ESTATE AGENT WHO SELLS BEACH PROPERT,BEACH FOR YOU OR BITCH FOR YOU,N
KLSTRLK,,,KILLS,N
JP 4U2,2,,"JAP? NO JEEP ON ANI, NOT CUSTOMER INITIALS",N
KAMI88,2,,"88=HATE SYMBOL, NO 1988 CAR ON ANI (ALSO LOOKS LIKE OLD AUTO PLATE)",N
KILRNY,2,,KILLER NY,N
L BLU,2,,BLUE,Y
LOV2DY,2,,LOVE TODAY OR TO DIE?,N
LU OTI,2,,"LUOTI=BULLET IN FINNISH, WHEN I GOOGLED IT PICTURES OF BULLETS CAME UP. NO FORD ON ANI (BULLIT CAR)",N
MFAM41,3,,MF=MOTHERFUCKER. NOT NAME INITIALS,N
MIZLIT,7D,,MS. LIT-- LIT=HIGH OR DRUNK,N
MKLUVN,1,,PROBABLY MEANS MC LOVIN (FROM MOVIE SUPERBAD) BUT THIS COMES OUT LIKE MAKE LOVIN. MAKE LOVE=SEX,N
MRPINK,1,,PINK=PUSSY BUT THIS IS HIS REAL LAST NAME,N
NAVY14,2,,14=HATE SYMBOL. BUT DOES HAVE 2014 CHEVY,Y
NEKOBS,1,,"NEKO=CAT IN JAPANESE, BS?",Y
OGLHKR,2,,OG,N
OOPNIP,2,,NIP IS DEROG. FOR JAPANESE,N
PCKGOG,2,,OG,N
PIGGYO,5,,"PIGG YO, TAUNTING LAW ENFORCEMENT",N
PIPIB,3,,"PEEPEE, URINE",N
RED 1B,2,,RED=GANG COLOR,Y
AAH G,2,,STAND ALONE G = GANGSTER,N
AZAZ 1,3,,AZ = ASS?,N
AZAZ 2,3,,AZ = ASS?,N
BDBAZ,3,,BAD ASS,N
BDLEAF,7D,,BUD LEAF?,N
BJHARO,1,,PULLED FOR BJ,N
BLUFVE,5,,LAW ENFORCEMENT REFERENCE?,N
BOPPR8,1,,BOPPER CAN MEAN A WOMAN GIVING ORAL SEX,N
BRZUKA,2,,BAZOOKA,N
BUC4ME,1,,COULD HAVE SEXUAL CONNOTATION,N
BUNBUN,1,,COULD HAVE SEXUAL CONNOTATION,N
BZZRTN,7D,,BUZZIN RIGHT NOW?,N
CHARDZ,2,,"ACCORDING TO URBAN DICTIONARY, CHARD CAN BE A DEROGATORY TERM FOR PENIS",N
CNE13,2,,13 = GANG NUMBER,N
DAGGR,2,,HOSTILE,N
DBLOND,1,,DIRTY BLONDE COULD HAVE SEXUAL CONNOTATION,N
DGLIPS,1,,COULD HAVE SEXUAL CONNOTATION (VAGINA),N
DG LPS,1,,COULD HAVE SEXUAL CONNOTATION (VAGINA),N
DIYFTW,3,,FTW = FUCK THE WORLD,N
D KITY,1,,COULD HAVE SEXUAL CONNOTATION,N
DOGLPS,1,,COULD HAVE SEXUAL CONNOTATION (VAGINA),N
DOGYDO,2,,DOG POOP,N
FNXFYR,2,,"FNX = FUCKIN' EX, FYR = FLASH YOUR RACK",N
GKLOVE,1,,GK = GO KINKY (SEXUAL),N
GMBATE,1,,MASTURBATE?,N
GNGLOV,2,,GANG LOVE,N
GOOD G,2,,STAND ALONE G = GANGSTER,N
GPALAA,2,,G = GANGSTER,N
GRNMAN,7D,,GREEN MAN COULD BE MARIJUANA REFERENCE,N
GR8ACD,7D,,GREAT ACID?,N
GZFUZZ,5,,FUZZ CAN BE POLICE REFERENCE,N
HB IWH,3,,HB = HOT BITCH,N
HB RN,3,,HB = HOT BITCH,N
HB S54,3,,HB = HOT BITCH,N
HDBLGE,1,,HARD BULGE? COULD HAVE SEXUAL CONNOTATION,N
HHYDRO,7D,,HYDRO = MARIJUANA REFERENCE,N
HI CHK,7D,,HIGH CHICK?,N
HK 10,2,,"HK = GUN, HOSTILE",N
HMH 3D,2,,HMH = HIGH MAINTENANCE HOE (URBAN DICTIONARY),N
HMI14,2,,14 = GANG NUMBER,N
HOOD84,2,,PULLED FOR HOOD,N
ICODE4,5,,CODE 4 = LAW ENFORCEMENT REFERENCE,N
ICUSXY,2,,I SEE U SEXY,N
IMOLYQ,7D,,PULLED FOR MOLLY = DRUG REFERENCE,N
INFN8Y,3,,IN FUCKIN' 80?,Y
CURSEU,2,"SNOOPY SAYS ""CURSE YOU RED BARON""",CURSE YOU,N
DOG PE,3,DOG (FOR SNOOPY) PE (I'M A PROF ENGINEER),DOG PEE,N
DRPODI,"7D, 3",NICKNAME AND I AM A DOCTOR,URBAN DICTIONARY SAYS PODI=MARIJUANA. 9 UP 8 DOWN. ALSO SOUNDS LIKE POTTY,N
DUKEY,3,DOG NAME,DUKEY= SLANG FOR POOP BUT ALSO A NICKNAME FOR DUKE. THIS HAD A PREVIOUS RECORD WITH ANOTHER CUSTOMER. And it is a Snoopy plate.,N
KOOK2,2,HER NICKNAME IN CHINESE,"KOOK=ECCENTRIC, STRANGE, FOOLISH OR INSANE",Y
SMLYTT,1,SMILEY TIANTIAN,SMELLY TT… TT=PENIS IN TAGALOG. CUSTOMER FIRST NAME IS TIANTIAN,N
VHAPPY,1,VERY HAPPY,"V CAN MEAN VAGINA, OR IT CAN BE SHORT FOR VERY",Y
88AMVP,2,lucky ace most valuable person,"88=hate symbol, no 1988 car on ani",N
ALCIN 88,2,ABBREVIATED NAMES,"88=hate symbol, no 1988 car on ani (CUSTOMER IS ALVARO)",N
A5NDRVR,2,THESE NUMBERS AND LETTERS HOLD SPECIAL IMPORTANCE FOR MY WIFE AND,ASIAN DRIVER (UNACCEPTABLE WITH S),N
BETHE B,3,NO MEANING ON REG 17,BE THE BITCH,N
BIOASSY,1,BIO ASSAY: SCIENTIFIC METHOD TO CHECK FOR POTENCY BY EFFECT ON CELLS OR TISSUE.,THIS IS A WORD… BUT PULLED FOR ASS,N
BLDMNKY,2,BUILD MONKEY - HE IS A BUILDER,"BLOOD, GANG",N
BMW BISH,3,BMW BISHOP. SHORTENED BISHOP,BMW BITCH,N
COONAS5,2,I AM CAJUN IT'S MY HERITAGE,DICTIONARY.COM: COONASS: VULGAR SLANG: DISPARAGING AND OFFENSIVE. A CAJUN.,N
CRWD KLA,2,COMPANY INITIALS PLUS LOCATION OF COMPANY LOS ANGELES,CROWD KILLER,N
DAWUS,2,CHILD NICKNAME,"da wuss; slang=wimp, from pussy. Probably childs pronounciation of last name ""Davis""",N
DOE BOI,7D,I LOVE PIZZA. PIZZA IS MADE OF DOUGH,URBAN DICTIONARY SAYS DOUGHBOY MEANS A RICH DRUG DEALER…,N
DOMYNCE,1,FAMILY NICKNAME,"DOMINANCE, SEXUAL CONNOTATIONS",N
DTH TPR,2,STAR WARS - ROGUE ONE IMPERIAL ARMY CHARACTER,DEATH? DON’T KNOW WHAT CHARACTER THIS IS,Y
EJ 7O7,2,ENGINE CODE / AREA CODE,707 is customer's area code.. Doesn’t have a Dodge. Has a GMC truck…?,N
ELGRIFO,2,NICK NAME,GOOGLE TRANSLATE SAYS IT MEANS 'TAP' BUT URBAN DICTIONARY SAYS IT IS SLANG FOR FILTHY POTHEAD,N
FAT WUDY,1,FAT FENDER OLD CAR WOOD BODY (PARTIAL) MEMBER OF NAT. WOODIE CLUB,SEXUAL CONNOTATION BUT CUSTOMER DOES HAVE A 1965 OLDS AND 1948 BUICK AND 1954 VOLKS,N
FCCRUZ5,3,OUR NAME,FUCK CRUZ?… FOR CHERYL CRUZ,Y
FLEK IT,3,"THIS IS THE NAME OF OUR COMPANY, FLEK, INC AND OUR WEBSITE IS FLEKIT.COM. WE MANUFACTURE AND SELL PHONE CASES FOR IPHONES.",SOUNDS SIMILAR TO FUCK IT,N
FML1993,3,THE BIRTH YEAR,"FML=FUCK MY LIFE, NOT CUSTOMER INITIALS",N
FTN PENZ,3,NOT ON QUICKWEB YET,FTN=FUCK THE NAVY,Y
F 213,2,FIRST INITIAL AND BIRTHDATE,"213=LA AREA CODE, HIS BDAY IS 2/13/87 AND FIRST NAME IS FARIS",N
G BEEST,2,GONZALEZ BEAST,G=GANGSTER,N
GERGS 5O,5,GEORGE'S 5.0,"50=POLICE, NO FORD ON ANI",N
GFY1993,3,BIRTH YEAR,"GFY=GO FUCK YOURSELF. SAME CUSTOMER THAT ORDERED ""FML1993""",N
GRG MHELL,3,GARAGE MA HALL,hell?,Y
GUNBNNY,2,"HOBBY, GAMING",GUN,N
G WULF,2,"IT MEANS ""GRAY WULF"" NATIVE AMERCAN NAME.",G=GANGSTER,N
HARCUMS,1,MY HUSBANDS LAST NAME,"NOT CUSTOMER LAST NAME, PULLED BECAUSE OF CUM",N
HELLS1,3,GRANDMOTHERS NAME AND ENGINE CODE FOR THE VEHICLE,HELL,Y
HKDFLBB,3,ME AND MY BOY FRIEND'S NAME INITIAL.,HK=HELLO KITTY OR HONG KONG? DFL=DEAD FUCKING LAST BB=BABY. NOT CUSTOMER'S INITIALS,N
JAY BONE,1,MY NICK NAME.,bone can have sexual connotations,N
J4MFZ,3,JUST FOR MY FRIEND ZACH,J4 MOTHERFUCKERS… CUSTOMER IS ZACHARY AND WAS PURCHASED BY SOMEONE ELSE,N
KATTY88,"2, 1",NICKNAME,"NO 1988 CAR ON ANI, ALSO HAS 06 FORD AND 16 CHEV…CAT? NOT HIS NAME",N
KAT4MNA,1,MY INITIALS (KAT) 4 MY DAUGHTERS MADISON AND AVA,IT IS HIS INITIALS… NO CAT CAR ON ANI,Y
KK YANG,1,THIS IS MY NAME.I THINK IS A GOOD IDEA.,"DICTIONARY.COM, YANG=SLANG FOR PENIS. BUT IS IS CUSTOMER LAST NAME. JUST CHECKED AND ""YANG"" IS UNACCEPTABLE",N
KOSPONY,1,NOT ON QUICKWEB YET,KOS=CUNT/PUSSY IN PERSIAN/FARSI LANGUAGE,N
KRWDKLR,2,"CROWD KILLER ITS A TREND THATS GOING ON WITH MUSTANGS, MY CAR IS A SHOW CAR SO IT WOULD BE COOL TO HAVE IT ON.",CROWD KILLER,N
KSHKING,7D,CASH KING,CASH KING OR KUSH KING,N
KYZAKSS,3,LIGHTNING BOLTS IN ARMENIAN,kaytsak IS LIGHTNING BOLT IN ARMENIAN ACCORDING TO GOOGLE TRANSLATE… THIS KIND OF SOUNDS LIKE KICK ASS (KIZ AXE),N
L A BUMZ,2,LOS ANGELES DODGERS ARE BUMS. GO GIANTS!,an insult… but has been out spelled with an 's' since 1984,N
LIT37OZ,7D,NICK NAME OF OWNER & MODEL NUMBER IF THE CAR,LIT=EXTREMELY INTOXICATED OR HIGH,N
MTDGAF,3,MY INITIALS AND MY TWO FRIENDS' INITIALS,mercedes taylor don’t give a fuck,N
M7EM,7B,FAMILY INITIAL,"I THINK THIS IS ARABIC, THEY USE THE NUMBER 7 TO SUBSTITUTE FOR A CHARACTER IN ENGLISH, BUT I CANT TRANSLATE… PULL FOR SUBSTITUTION?",Y
NEKAPLZ,2,NICOLE PLEASE,N WORD,N
PSYCLWN,2,"MY CAR IS A 1964 MERCURY CYCLONE, AND THIS IS THE CLOSEST I COULD GET TO CYCLONE",no 64 vehicle on ani. Psycho clown?,Y
RADRSOG,2,no meaning written in on Reg 17,og=original gangster,N
RAYCAT,1,no meaning written in on Reg 17,"CAT=PUSSY, CUSTOMERS ARE RAYMOND AND KATHERINE",Y
RIDN417,2,DRIVING SAFELY,CA PENAL CODE FOR DRAWING A FIREARM OR OTHER DEADLY WEAPON IN A THREATENING MANNER,N
SLAYCAM,2,SLAY IS SLANG TO SUCCEED IN SOMETHING. cam is short for camera. Slaycam is a joke amongst friends to want to record or take pictures.,slay=kill,N
TATA 61,1,grandfather/year model,tata can also mean breast,N
URBAN88,2,they put their credit card number for their meaning!,"88=hate symbol, customer ordered a few different number combinations and 82-88. No 88 car on ani",N
VACA777,3,LAST NAME AND NUMBERS,"VACA=COW IN SPANISH, ALSO SLANG FOR FAT WOMAN OR BITCH",Y
WREATER,2 or 1,IT MEANS I COMPEAT WITH WIDE RECEIVERS ON THE FOOTBALL FIELD,WIDE RECEIVER EATER (AND THERE IS NO 'EAT' IN COMPETE),N
ZOEEE 13,2,ZOE WAS MY FAVORITE AUNTS NAME,"13=gang number, does have a 2013 truck",Y
14 CUBS,2,CAYABYAB 14,"14=hate symbol, no 2014 car on ani",N
179LV14,2,BIRTHDAYS/LOVE,"14=hate symbol, no 2014 car on ani",N
1966 FMC,3,"1966, F FOR FORD, M FOR MUSTANG","NO 66 CAR ON ANI, NO MUSTANG ON ANI, FMC CAN MEAN FUCK MY COMPUTER OR FUCK MY COCK OR FUCK ME CRAZY… ALL ON URBAN DICTIONARY",Y
33TJGAU,1,3 OF MY DIFFERENT NAMES,EAT,Y
4PUDDIN,1,TV CHARACTER,PUDDIN CAN HAVE SEXUAL CONNOTATIONS- URBAN DICTIONARY AND DICTIONARY.COM,Y
6ONE9SD,2,SAN DIEGO' S AREA CODE AND CITY WHERE I WAS BORNED AND RAISED,SAN DIEGO AREA CODE 619,N
831LIFE,2,LIVING LIFE IN SALINAS AREA CODE,831=SALINAS AREA CODE,N
OV THUG,2,FOOTBALL CALL H.S.,THUG,N
CATNI,1,MY WIFE AND I,"CAT=PUSSY, HE ALREADY HAS ""CATIAM""",Y
DOMN8RS,1,NOT ON QUICKWEB YET,"DOMINATORS, SEXUAL CONNOTATIONS?",Y
EREL21F,5,FITNESS CENTURY 21 LAW ENFORCMENT REAL ESTATE,PULLED BECAUSE OF LAW ENFORCEMENT… IN THEIR MEANING,Y
FUKN HEY,3,"FUKIEN HEY, JAPANESE CHEMIST. IVE ALREADY SEEN FUKYEAH AND FKN FST PLATES ON CARS. WHY DOES MY ORDER DECLINE",FUCKING HEY,N
IRISH B,3,IRISH BAKER,B=BITCH (HIS LAST NAME IS BAKER),N
NIJA NAT,2,"NINJA NATALIE, RELEVANT TO MY PROFESSION AND MY NAME ABBREVIATED",LOOKS LIKE N WORD. SHE'S A NINJA BY PROFESSION?,Y
O FUX,3,"ORANGE FOX, ORANGE JAGUAR","ZERO FUCKS, SAME CUSTOMER THAT ORDERED 'FUKN HEY"" ABOVE…",N
REDDRNR,2,IM A REDHEAD AND A RUNNER,red=gang color,Y
REDRUNZ,2,IM A REDHEADED RUNNER,red=gang color SAME CUSTOMER AS ABOVE,Y
SLA HER,2,I AM A FAN OF SLAYER. SO I WANT IT TO BE SLAY HER. BECAUSE I AM A FEMALE,SLAY=KILL,N
SZ M8RS,1,SUZE (NICKNAME FOR SUSAN) MATTERS,"SIZE MATTERS, can have sexual connotations. CUSTOMER NAME IS SUSAN THOUGH. A COUPLE SIMILAR CONFIGURATIONS are UNACCEPTABLE",N
1QWKKAT,1,"ONE QUICK KAT (MY NAME IS KATHLEEN, BUT I GO BY KAT, KATKATHEY, KATHEY","kat=pussy. HAS LEXUS, NO CAT CAR",Y
KATS13,2,nickname bday,GANG NO 2013 CAR ON ANI,N
14SNPY,2,ONE FOR SNOOPY,GANG NO 2014 CAR ON ANI,N
BA DRT13,2,BAD RT 2013,GANG HAS A 2013 DODGE,N
BDASGRM,3,CELEBRATING OUR GRANDMA,BAD ASS GRANDMA,N
D MNY,1,MY NICKNAME....D MONEY,"STAND ALONE ""D""",N
DMN8,1,DOMINATE,DOMINATE CAN HAVE SEXUAL CONNOTATIONS,N
DN7HA7E,2,MY KIDS INITIALS AND MY FAVORITE NUMBER,HATE,N
HNC 72,2,NO MEANING WRITTEN ON REG 17,"URBAN DICTIONARY SAYS HNC=HNIC, AN ACRONYM CONTAINING THE N WORD. 72=THE YEAR SHE WAS BORN",N
D SHOEN,1,NAME,"STAND ALONE ""D"" (HIS NAME IS DENNIS BUT NOT SHOEN)",N
GLDNBTY,1,"VEHICLE (85 PORSCHE) NAME IS: BETTY AND WE'VE RETURNED TO CA SO WE ARE GOLDEN, ""GLDNBTY""",GOLDEN BOOTY,N
H BULLYS,2,"H FOR MY LAST NAME HIDALGO, BULLYS MY FAVORITE DOG BREED",BULLYING,N
IMA247G,2,COMPULSIVE GAMBLER,IM A 24/7 GANGSTER,N
KREMA 88,2,STORE NAME AND GOOD LUCK NUMBERS,"88=hate symbol, no 88 car on ani",N
MEVAALE,3,I DON'T CARE,SPANISH 'ME VALE' MEANS 'I DON’T GIVE A DAMN',N
MAFIOZ,2,CUSTOM PLATE FOR SHOW CAR,GANGSTER/MOB,N
MINTY 13,2,CAR COLOR IS MINT,"13=GANG, NO 2013 ON ANI",N
MST DO88,2,MUST DO 88. IN REFERENCE TO GOING 88MPH IN THE MOVIE BACK TO THE FUTURE,"88=hate symbol, no 88 car on ani",N
MYSTIKK,1,MYSTIC,STICK,N
NA7O7PA,2,NAPA 707 AREA CODE,AREA CODE,N
NJYABWL,7D,MY DJ NAME,ENJOY A BOWL (MARIJUANA REFERENCE) OR ENJOYABLE,N
NNASSUV,1,NANA'S SUV,ASS,N
OG KALI,2,THIS IS MY DOGS NAME,OG=ORIGINAL GANGSTER,N
